latitude,longitude,date,time,distance_in_m,speed_m/s,speed_kmh,formatted_time,total_time,total_distance
37.138535244294474,-8.563618035841888,14-03-2025,00:07:54,0.0,0.0,0.0,0 segundos,0 segundos,0.0
37.138527860091656,-8.563550602457138,14-03-2025,00:09:08,6.033571154311885,0.08,0.29,"1 minutos, 14 segundos","1 minutos, 14 segundos",6.033571154311885
37.13852721241951,-8.563536719167244,14-03-2025,00:09:23,1.232750314955993,0.08,0.29,15 segundos,"1 minutos, 29 segundos",7.266321469267878
37.13852531737024,-8.563541212786527,14-03-2025,00:09:33,0.450627323760787,0.05,0.18,10 segundos,"1 minutos, 39 segundos",7.716948793028665
37.14064997671669,-8.535743619832262,14-03-2025,19:33:35,2475.304355998787,0.04,0.14,"19 horas, 24 minutos, 2 segundos","19 horas, 25 minutos, 41 segundos",2483.0213047918155
37.140637634399475,-8.535750375182342,14-03-2025,19:33:45,1.4973450262816381,0.15,0.54,10 segundos,"19 horas, 25 minutos, 51 segundos",2484.518649818097
37.14063962537868,-8.535750476569675,14-03-2025,19:33:55,0.22156911875611798,0.02,0.07,10 segundos,"19 horas, 26 minutos, 1 segundos",2484.740218936853
37.1406382233014,-8.535737112166679,14-03-2025,19:52:33,1.1948315200250623,0.0,0.0,"18 minutos, 38 segundos","19 horas, 44 minutos, 39 segundos",2485.9350504568783
37.14065234339565,-8.535735600572492,14-03-2025,20:05:42,1.5757895531430297,0.0,0.0,"13 minutos, 9 segundos","19 horas, 57 minutos, 48 segundos",2487.510840010021
37.140641915215774,-8.535731310386977,14-03-2025,20:05:55,1.220325530046323,0.09,0.32,13 segundos,"19 horas, 58 minutos, 1 segundos",2488.7311655400676
37.14065354421887,-8.535744937320485,14-03-2025,20:24:24,1.7694809508324523,0.0,0.0,"18 minutos, 29 segundos","20 horas, 16 minutos, 30 segundos",2490.5006464909
37.14065829036113,-8.535743347394156,14-03-2025,20:24:47,0.546240104479863,0.02,0.07,23 segundos,"20 horas, 16 minutos, 53 segundos",2491.04688659538
37.14065936871685,-8.535740920088276,14-03-2025,20:25:04,0.2463123590056806,0.01,0.04,17 segundos,"20 horas, 17 minutos, 10 segundos",2491.2931989543854
37.14065839564564,-8.535741839243153,14-03-2025,20:25:14,0.13544486101455452,0.01,0.04,10 segundos,"20 horas, 17 minutos, 20 segundos",2491.4286438154
37.14065808168593,-8.535741935464715,14-03-2025,20:25:24,0.035937494250846205,0.0,0.0,10 segundos,"20 horas, 17 minutos, 30 segundos",2491.464581309651
37.14066003301623,-8.535741779409861,14-03-2025,20:25:34,0.21741850793883974,0.02,0.07,10 segundos,"20 horas, 17 minutos, 40 segundos",2491.6819998175897
37.14066003301634,-8.535741779409959,14-03-2025,20:25:44,1.478260417797034e-08,0.0,0.0,10 segundos,"20 horas, 17 minutos, 50 segundos",2491.681999832372
37.14066074672574,-8.535741409694442,14-03-2025,20:25:54,0.08586102379171234,0.01,0.04,10 segundos,"20 horas, 18 minutos, 0 segundos",2491.7678608561637
37.1406606930966,-8.535741238642474,14-03-2025,20:26:04,0.016292535844183723,0.0,0.0,10 segundos,"20 horas, 18 minutos, 10 segundos",2491.7841533920077
37.14066043553254,-8.53574041713308,14-03-2025,20:26:14,0.07824798020424538,0.01,0.04,10 segundos,"20 horas, 18 minutos, 20 segundos",2491.862401372212
37.14066017800356,-8.535739595735578,14-03-2025,20:26:24,0.07823732294601779,0.01,0.04,10 segundos,"20 horas, 18 minutos, 30 segundos",2491.9406386951578
37.14065992050159,-8.535738774424223,14-03-2025,20:26:34,0.07822911763368107,0.01,0.04,10 segundos,"20 horas, 18 minutos, 40 segundos",2492.0188678127915
37.14065966303533,-8.53573795322676,14-03-2025,20:26:44,0.0782182698481342,0.01,0.04,10 segundos,"20 horas, 18 minutos, 50 segundos",2492.0970860826396
37.14065940560494,-8.535737132143721,14-03-2025,20:26:54,0.07820737113055093,0.01,0.04,10 segundos,"20 horas, 19 minutos, 0 segundos",2492.1752934537703
37.14063444297841,-8.53573872764772,14-03-2025,21:12:33,2.7793179470463714,0.0,0.0,"45 minutos, 39 segundos","21 horas, 4 minutos, 39 segundos",2494.9546114008167
37.14063410389653,-8.535739144837741,14-03-2025,21:12:43,0.05281189352002191,0.01,0.04,10 segundos,"21 horas, 4 minutos, 49 segundos",2495.0074232943366
37.14063339048959,-8.535739031012731,14-03-2025,21:12:53,0.07996628144847391,0.01,0.04,10 segundos,"21 horas, 4 minutos, 59 segundos",2495.087389575785
37.14063227016688,-8.53574001156638,14-03-2025,21:13:03,0.15189838314808998,0.02,0.07,10 segundos,"21 horas, 5 minutos, 9 segundos",2495.239287958933
37.14063327812682,-8.535740276002302,14-03-2025,21:13:13,0.1145047790577851,0.01,0.04,10 segundos,"21 horas, 5 minutos, 19 segundos",2495.3537927379907
37.14062988123624,-8.53574274199726,14-03-2025,21:13:23,0.43640526464343576,0.04,0.14,10 segundos,"21 horas, 5 minutos, 29 segundos",2495.790198002634
37.14063028000288,-8.535743253794992,14-03-2025,21:13:33,0.06343616027741202,0.01,0.04,10 segundos,"21 horas, 5 minutos, 39 segundos",2495.8536341629115
37.14063662367492,-8.53574022974182,14-03-2025,21:13:43,0.7545980499283569,0.08,0.29,10 segundos,"21 horas, 5 minutos, 49 segundos",2496.60823221284
37.140636443985784,-8.535742104023093,14-03-2025,21:13:53,0.16733289382403196,0.02,0.07,10 segundos,"21 horas, 5 minutos, 59 segundos",2496.775565106664
37.14063702256131,-8.5357421758036,14-03-2025,21:14:03,0.06464852313504263,0.01,0.04,10 segundos,"21 horas, 6 minutos, 9 segundos",2496.840213629799
37.14063771472506,-8.535742856211622,14-03-2025,21:14:13,0.09778068299212322,0.01,0.04,10 segundos,"21 horas, 6 minutos, 19 segundos",2496.937994312791
37.14064879656947,-8.535740185907278,14-03-2025,21:14:23,1.2547716636269577,0.13,0.47,10 segundos,"21 horas, 6 minutos, 29 segundos",2498.192765976418
37.1406477884907,-8.53574071471226,14-03-2025,21:14:33,0.12149890245275209,0.01,0.04,10 segundos,"21 horas, 6 minutos, 39 segundos",2498.3142648788707
37.140654328327685,-8.535735679468813,14-03-2025,21:14:43,0.8532400991623205,0.09,0.32,10 segundos,"21 horas, 6 minutos, 49 segundos",2499.167504978033
37.1406577873359,-8.535735333175692,14-03-2025,21:14:53,0.3858470554595958,0.04,0.14,10 segundos,"21 horas, 6 minutos, 59 segundos",2499.5533520334925
37.14065618488235,-8.53573719213174,14-03-2025,21:15:03,0.242695963255287,0.02,0.07,10 segundos,"21 horas, 7 minutos, 9 segundos",2499.796047996748
37.14064627406728,-8.535737309478156,14-03-2025,21:15:13,1.1020814414725681,0.11,0.4,10 segundos,"21 horas, 7 minutos, 19 segundos",2500.89812943822
37.14065072587048,-8.535736062143522,14-03-2025,21:15:23,0.5072149484837489,0.05,0.18,10 segundos,"21 horas, 7 minutos, 29 segundos",2501.4053443867037
